fips_code,year,state_name,county_name,state_abb,dem2p_vote_share,rep2p_vote_share,avg_wkly_wage,wage_growth,prop_over_65,rural_urban,prop_college_grad,prop_foreignborn,prop_hispanic,prop_white,prop_black,employ_pop_ratio_25_64,employ_pop_ratio_25_64_change,dem2p_vote_share_2012,Linc2pvs,inc2pvs_change,mortality_risk_25_45,mortality_risk_25_45_change,TrumpMajority
38005,2016,North Dakota,Benson,ND,0.475417286,0.524582744,685,-0.020231904,0.122905031,9,0.149961144,0.004704499,0.024404587,0.428550571,0.005984528,0.636918604,-0.047268867,0.587282062,0.587282062,-0.111864775,5.296030045,0.214417458,1
38007,2016,North Dakota,Billings,ND,0.106475919,0.893524051,638,-0.060809005,0.172008544,9,0.248908296,0.017094018,0.032051284,0.939139545,0.00524659,1.482625484,-0.146639705,0.158664748,0.158664748,-0.052188829,1.939797044,0.080600977,1
38009,2016,North Dakota,Bottineau,ND,0.227823451,0.772176564,786,-0.008866429,0.213082701,9,0.212765962,0.023308272,0.021203008,0.94756043,0.012007904,0.827863574,-0.011209667,0.341613621,0.341613621,-0.113790169,2.379206419,-0.025599003,1
38011,2016,North Dakota,Bowman,ND,0.135654777,0.864345253,802,-0.063992858,0.198579371,9,0.219413087,0.007720815,0.047560222,0.969040275,0.005572755,1.046481609,-0.047861934,0.244360134,0.244360134,-0.108705357,2.808929682,-0.006343842,1
38013,2016,North Dakota,Burke,ND,0.117335826,0.882664204,910,-0.106239252,0.176418051,9,0.208689928,0.032157212,0.03528361,0.967669487,0.010327796,0.581534803,-0.043394208,0.230209932,0.230209932,-0.112874106,2.680639029,-0.041723967,1
38015,2016,North Dakota,Burleigh,ND,0.250663131,0.749336898,956,0.009458819,0.143451855,3,0.342265338,0.020958481,0.019776944,0.919823349,0.025045272,1.168586969,-0.028375626,0.335670829,0.335670829,-0.085007697,1.882381916,0.002773285,1
38017,2016,North Dakota,Cass,ND,0.44060868,0.55939132,949,0.041964199,0.106873155,3,0.373642772,0.064392395,0.024081221,0.8933658,0.056498211,1.306765914,-0.008827209,0.485036105,0.485036105,-0.044427425,1.793656826,0.00415349,1
38019,2016,North Dakota,Cavalier,ND,0.259684831,0.740315139,781,0.009003276,0.262994558,9,0.186746985,0.009568141,0.01292992,0.97191602,0.007349081,0.838122606,0.025504887,0.406372041,0.406372041,-0.14668721,2.219914675,-0.006425858,1
38021,2016,North Dakota,Dickey,ND,0.249458164,0.750541806,658,0.012232568,0.217054263,9,0.279524207,0.017635658,0.033333335,0.973173201,0.012412412,0.816007972,-0.042517483,0.346335948,0.346335948,-0.096877784,2.336928606,0.009849787,1
38023,2016,North Dakota,Divide,ND,0.220346421,0.779653609,916,-0.043787029,0.238497257,9,0.230769232,0.042211905,0.003376952,0.958978653,0.019254919,0.750784159,-0.057423532,0.344350904,0.344350904,-0.124004483,2.434715033,-0.003652573,1
38025,2016,North Dakota,Dunn,ND,0.168141589,0.831858397,1286,0.016464503,0.163632125,9,0.204599261,0.020308124,0.028478058,0.863480449,0.014863938,0.835143447,-0.260631204,0.252272278,0.252272278,-0.08413069,2.834610701,0.005207062,1
38027,2016,North Dakota,Eddy,ND,0.309774429,0.690225542,650,0.061875403,0.209282696,9,0.221500292,0.01350211,0.01814346,0.944492996,0.010052447,0.613190711,-0.032028258,0.433942765,0.433942765,-0.124168336,3.163312197,0.118713379,1
38029,2016,North Dakota,Emmons,ND,0.113612562,0.886387408,630,-0.004750603,0.271453589,8,0.152850792,0.013134851,0,0.978710651,0.006896552,0.634645283,0.023717761,0.210673571,0.210673571,-0.097061008,2.502508879,0.021547556,1
38031,2016,North Dakota,Foster,ND,0.218553796,0.781446218,784,0.047006041,0.221823618,9,0.216317996,0.012855007,0.011659193,0.973111808,0.00755287,1.011104226,0.029555202,0.370800376,0.370800376,-0.15224658,2.488206863,0.025315285,1
38033,2016,North Dakota,Golden Valley,ND,0.110564582,0.88943541,679,-0.00440853,0.17414248,9,0.223120451,0.001055409,0.017941952,0.972595394,0.008060182,0.717920363,-0.020634711,0.179223984,0.179223984,-0.068659402,2.301050425,-0.025313139,1
38035,2016,North Dakota,Grand Forks,ND,0.399106652,0.600893378,880,0.053688504,0.113105901,3,0.330944717,0.040835042,0.038055394,0.891651094,0.045894951,1.227093816,-0.004056454,0.482349306,0.482349306,-0.083242655,1.832773685,-0.072023869,1
38037,2016,North Dakota,Grant,ND,0.143116519,0.856883466,675,0.043913186,0.271000415,8,0.180616736,0.011819333,0.006331786,0.968697846,0.00918197,0.48753038,-0.044628233,0.24578914,0.24578914,-0.102672622,2.456526756,0.025378942,1
38039,2016,North Dakota,Griggs,ND,0.260273963,0.739726007,673,0.0301682,0.294677615,9,0.202655897,0.010817828,0.004327131,0.984526992,0.006189213,0.872703433,0.0031932,0.410090417,0.410090417,-0.149816453,2.324168682,-0.063483,1
38041,2016,North Dakota,Hettinger,ND,0.137901679,0.862098336,766,0.025116984,0.264115185,9,0.137878016,0.012504737,0.027661994,0.952289343,0.011927664,0.582726061,0.021461248,0.238381743,0.238381743,-0.100480065,2.182905912,0.020222664,1
38043,2016,North Dakota,Kidder,ND,0.138773337,0.861226678,658,-0.084475234,0.208350554,8,0.196969703,0.01777594,0.050847456,0.974827468,0.009744215,0.564829826,-4.53E-05,0.31114617,0.31114617,-0.172372833,2.316554308,0.0282166,1
38045,2016,North Dakota,Lamoure,ND,0.253172785,0.746827185,675,-0.019076146,0.24422282,9,0.225271001,0.007297494,0.008756993,0.983957231,0.007535246,0.707338214,0.016813338,0.349569917,0.349569917,-0.096397132,2.053381443,-0.016611576,1
38047,2016,North Dakota,Logan,ND,0.113738023,0.886262,558,0.016260521,0.286230028,9,0.138049453,0.012377515,0.014956163,0.979813635,0.008799172,0.734911263,-0.015580714,0.222634122,0.222634122,-0.108896099,2.281654835,-0.00254488,1
38049,2016,North Dakota,Mchenry,ND,0.192939609,0.807060421,816,0.036186107,0.193166435,9,0.207510367,0.013870095,0.024018945,0.976452887,0.008016032,0.420942277,0.021652937,0.359788895,0.359788895,-0.166849285,2.340984583,-0.038021326,1
38051,2016,North Dakota,Mcintosh,ND,0.176018193,0.823981822,633,0.041941632,0.320789188,9,0.182760239,0.027767628,0.015345269,0.976190448,0.006528418,0.898242652,0.021078169,0.307219654,0.307219654,-0.131201461,2.174298525,-0.091613054,1
38053,2016,North Dakota,Mckenzie,ND,0.159803182,0.840196788,1349,-0.065279536,0.08704982,9,0.245797992,0.008770293,0.061858557,0.839648068,0.019340521,1.320401669,-0.23197782,0.273830146,0.273830146,-0.114026964,3.35630393,-0.081365585,1
38055,2016,North Dakota,Mclean,ND,0.218803793,0.781196237,1009,0.053957108,0.217314124,8,0.182730928,0.010756057,0.022451963,0.919296443,0.006207967,0.72781229,0.001658261,0.347121,0.347121,-0.128317207,2.542481422,-0.070194483,1
38057,2016,North Dakota,Mercer,ND,0.141742378,0.858257592,1381,0.04290599,0.170683891,7,0.206615612,0.00945681,0.02421866,0.955076993,0.010420285,1.203744531,0.078583241,0.270016521,0.270016521,-0.128274143,2.533088923,0.102946758,1
38059,2016,North Dakota,Morton,ND,0.213618889,0.786381125,858,0.047741763,0.150136665,3,0.25298813,0.008065333,0.023959775,0.936469078,0.014829332,0.679879129,-0.009478807,0.339890271,0.339890271,-0.126271382,2.344571829,-0.050644636,1
38061,2016,North Dakota,Mountrail,ND,0.320876986,0.679123044,1217,-0.046557363,0.111214474,9,0.236434743,0.017984496,0.06408269,0.682869673,0.013469986,1.029671669,-0.194134474,0.416932076,0.416932076,-0.09605509,3.594831705,-0.170646667,1
38063,2016,North Dakota,Nelson,ND,0.343378782,0.656621218,622,0.024411302,0.280342996,8,0.194204152,0.008575198,0.024076518,0.95932436,0.019303689,0.726283431,-0.006860018,0.469977379,0.469977379,-0.126598597,3.106280327,0.182206392,1
38065,2016,North Dakota,Oliver,ND,0.125388488,0.874611497,1423,0.046754289,0.22285068,3,0.173946962,0.002828054,0.015837105,0.961011589,0.009483667,0.968070209,0.050784945,0.288507551,0.288507551,-0.163119063,2.109562635,0.060112715,1
38067,2016,North Dakota,Pembina,ND,0.235730663,0.764269352,865,0.034100894,0.214545965,9,0.202351123,0.04119955,0.03279148,0.958091438,0.010193968,1.04180634,-0.003003001,0.397500783,0.397500783,-0.16177012,2.241210938,-0.031192303,1
38069,2016,North Dakota,Pierce,ND,0.230709538,0.769290447,730,-0.013605652,0.230048016,7,0.140107289,0.002515436,0.008003659,0.94018513,0.011155946,0.868434191,0.033308744,0.310578108,0.310578108,-0.07986857,2.618739605,0.064761639,1
38071,2016,North Dakota,Ramsey,ND,0.318728238,0.681271791,895,0.18209812,0.182069436,7,0.218797177,0.007946105,0.023233719,0.874240041,0.010161542,1.143712521,0.133629084,0.448136657,0.448136657,-0.129408419,2.866200447,0.068834305,1
38073,2016,North Dakota,Ransom,ND,0.409169465,0.590830564,656,0.042029534,0.209089249,8,0.172118381,0.015026571,0.017042331,0.971338153,0.011539177,0.784999311,0.012424052,0.570986688,0.570986688,-0.161817223,2.524393082,0.066122055,1
38075,2016,North Dakota,Renville,ND,0.168381155,0.831618845,782,-0.059570961,0.165176839,9,0.17189315,0.030314807,0.037699185,0.979785979,0.010305192,0.526915133,-0.032398224,0.31863296,0.31863296,-0.150251806,2.499783754,0.061365604,1
38077,2016,North Dakota,Richland,ND,0.302178264,0.697821736,781,0.056631327,0.157327458,6,0.218648598,0.014207851,0.025169943,0.944974899,0.014383646,1.007477641,-0.003096223,0.430606812,0.430606812,-0.128428549,2.003259659,0.018663049,1
38079,2016,North Dakota,Rolette,ND,0.632997394,0.367002606,706,-0.005649732,0.102827415,9,0.224878639,0.006435271,0.003628397,0.196495533,0.006068044,0.660689592,-0.019337773,0.754326701,0.754326701,-0.121329308,5.082513809,0.20522213,0
38081,2016,North Dakota,Sargent,ND,0.38944301,0.61055696,754,0.037842352,0.199022889,9,0.189568341,0.028027771,0.029570583,0.955527008,0.019023137,1.506542683,0.011397004,0.550123274,0.550123274,-0.160680264,1.983812094,-0.116363287,1
38083,2016,North Dakota,Sheridan,ND,0.127508983,0.872491002,500,0.028399475,0.252329737,9,0.154411763,0.004301075,0.010752688,0.974016309,0.005939124,0.3660236,-0.012005478,0.202491581,0.202491581,-0.074982598,1.828575492,-0.201870561,1
38085,2016,North Dakota,Sioux,ND,0.744644821,0.255355209,823,0.028344473,0.074249603,3,0.166088462,0.005642067,0.036786277,0.142312005,0.010998878,0.78542912,-0.006824374,0.799979687,0.799979687,-0.055334866,7.302583218,0.026283741,0
38087,2016,North Dakota,Slope,ND,0.106168382,0.893831611,1098,-0.055791359,0.236090228,9,0.293307096,0,0.003007519,0.961734712,0.014030612,0.343408883,-0.080130637,0.195732832,0.195732832,-0.08956445,2.150831223,0.050235748,1
